Target HVACLogic URL,External Source URL,Platform,Link Type,Rel Attribute,Anchor Text / Context,Verified DOI,Date Published,Status
https://hvaclogic.org/calculators/ductulator,https://www.academia.edu/172310808/Deterministic_Building_Science_and_Thermodynamic_Modeling_Framework_for_Real_Time_Field_Diagnostics_Air_Distribution_and_Decarbonization_Sizing,Academia.edu,Academic Monograph,dofollow,HVACLogic Digital Ductulator & Air Distribution Framework,,2026-08-25,VERIFIED LIVE
https://hvaclogic.org/calculators/flex-duct-cfm-chart,https://www.academia.edu/172873502/The_Physics_of_Un_Tensioned_Airflow_Coupling_Implicit_Colebrook_White_Iteration_with_Dynamic_Roughness_Scaling,Academia.edu,Academic Monograph,dofollow,HVACLogic Flexible Duct CFM Chart,,2026-08-28,VERIFIED LIVE
https://hvaclogic.org/calculators/pt-chart,https://www.academia.edu/173347283/Thermodynamic_Phase_Equilibrium_and_Non_Linear_Temperature_Glide_Modeling_of_Next_Generation_Zeotropic_A2L_Refrigerants_R_454B_and_R_32_,Academia.edu,Academic Monograph,dofollow,HVACLogic A2L Refrigerant PT Chart,,2026-09-04,VERIFIED LIVE
https://hvaclogic.org/calculators/psychrometric-calculator,https://www.academia.edu/174361730/Thermodynamic_Formulations_of_ASHRAE_Hyland_Wexler_Moist_Air_Psychrometrics_and_Numerical_Energy_Balance_Solvers_for_Building_Sizing_and_Field_Diagnostics,Academia.edu,Academic Monograph,dofollow,HVACLogic Psychrometric Calculator Workbench,,2026-09-07,VERIFIED LIVE
https://hvaclogic.org/calculators/heat-pump-size-calculator,https://www.academia.edu/175267664/Interactive_Engineering_Lab_Thermodynamic_Modeling_of_Cold_Climate_Heat_Pump_Balance_Points_Inverter_COP_Deratings_and_Supplemental_Electric_Resistance_Loads,Academia.edu,Academic Monograph,dofollow,HVACLogic Heat Pump Sizing & Balance Point Tool,,2026-09-09,VERIFIED LIVE
https://hvaclogic.org/calculators/refrigerant-charge-calculator,https://www.academia.edu/175390832/Deterministic_Vapor_Compression_Refrigerant_Mass_Sizing_and_Liquid_Line_Displacement_Mechanics_for_Next_Generation_Low_GWP_Split_Systems,Academia.edu,Academic Monograph,dofollow,HVACLogic Refrigerant Charge Sizing Calculator,,2026-09-11,VERIFIED LIVE
https://hvaclogic.org/calculators/btu-calculator,https://www.academia.edu/175459983/Student_Laboratory_Manual_Building_Envelope_Thermal_Transmission_Fenestration_SHGC_Modeling_and_Infiltration_Sizing_per_ACCA_Manual_J,Academia.edu,Academic Monograph,dofollow,HVACLogic BTU & Building Heat Loss Calculator,,2026-09-13,VERIFIED LIVE
https://hvaclogic.org/calculators/kitchen-hood-cfm,https://www.academia.edu/175586373/HL_ENG_2026_KIT01_Kitchen_Exhaust_Aerodynamics_Thermal_Plume_Capture_Mechanics_and_Building_Envelope_Depressurization_Dynamics_per_IRC_M1503_6_and_ASHRAE_62_2,Academia.edu,Academic Monograph,dofollow,HVACLogic Kitchen Range Hood CFM Sizer,,2026-09-15,VERIFIED LIVE
https://hvaclogic.org/calculators/psychrometric-calculator,https://figshare.com/articles/dataset/ASHRAE_Hyland-Wexler_Moist_Air_Psychrometric_Benchmark_Dataset_420_Thermodynamic_State_Points_Across_Sea-Level_and_Elevated_Altitudes/33456928,Figshare,Open Dataset,dofollow,Interactive Psychrometric Simulation Workbench,10.6084/m9.figshare.33456928,2026-09-07,VERIFIED LIVE
https://hvaclogic.org/calculators/heat-pump-size-calculator,https://figshare.com/articles/dataset/Cold-Climate_Heat_Pump_COP_Derating_Heating_Load_Balance_Point_Dataset_360_Simulation_Points_Across_Variable_Ambient_Temperatures_-15_F_to_50_F_/33477430,Figshare,Open Dataset,dofollow,HVACLogic Heat Pump Balance Point Sizer,10.6084/m9.figshare.33477430,2026-09-09,VERIFIED LIVE
https://hvaclogic.org/calculators/refrigerant-charge-calculator,https://figshare.com/articles/dataset/Next-Generation_Low-GWP_Refrigerant_Line-Set_Mass_Addition_Velocity_Gradient_Benchmark_Dataset/33640444,Figshare,Open Dataset,dofollow,HVACLogic Line-Set Weigh-In Sizer,10.6084/m9.figshare.33640444,2026-09-11,VERIFIED LIVE
https://hvaclogic.org/calculators/btu-calculator,https://figshare.com/articles/dataset/Benchmark_Matrix_Building_Envelope_Thermal_Transmission_Fenestration_SHGC_and_Infiltration_Sizing_per_ACCA_Manual_J/33702643,Figshare,Open Dataset,dofollow,HVACLogic BTU & Heat Loss Engine,10.6084/m9.figshare.33702643,2026-09-13,VERIFIED LIVE
https://hvaclogic.org/calculators/combustion-air-calculator,https://figshare.com/articles/dataset/Benchmark_Matrix_Confined_Space_Combustion_Air_Infiltration_Opening_Free_Area_and_Gross_Louver_Sizing_Vectors_per_NFPA_54_and_IFGC_540_Points_/33753856,Figshare,Open Dataset,dofollow,HVACLogic Combustion Air Opening Sizer,10.6084/m9.figshare.33753856,2026-09-15,VERIFIED LIVE
https://hvaclogic.org/calculators/psychrometric-calculator,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7430738,SSRN (Elsevier),Academic Working Paper,dofollow,HVACLogic Psychrometric Computational Engine,10.2139/ssrn.7430738,2026-09-06,VERIFIED LIVE
https://hvaclogic.org/calculators/btu-calculator,https://huggingface.co/datasets/miadinside/building-envelope-thermal-transmission-benchmark-2026,Hugging Face,Open Dataset,dofollow,HVACLogic Thermal Transmission Engine,10.57967/hf/10401,2026-09-13,VERIFIED LIVE
https://hvaclogic.org/calculators/combustion-air-calculator,https://huggingface.co/datasets/miadinside/combustion-air-and-confined-space-benchmark-2026,Hugging Face,Open Dataset,dofollow,HVACLogic Combustion Air Opening Sizer,10.57967/hf/10454,2026-09-15,VERIFIED LIVE
https://hvaclogic.org/calculators/btu-calculator,https://www.merlot.org/merlot/viewMaterial.htm?id=824240104,MERLOT,OER Learning Object,dofollow,HVACLogic Engineering Simulation Suite,,2026-09-10,VERIFIED LIVE
https://hvaclogic.org/calculators/psychrometric-calculator,https://www.merlot.org/merlot/viewMaterial.htm?id=824240154,MERLOT,OER Learning Object,dofollow,HVACLogic Interactive Psychrometric Chart,,2026-09-13,VERIFIED LIVE
https://hvaclogic.org/calculators/ductulator,https://oercommons.org/courseware/lesson/147416,OER Commons,Open Author Lesson,dofollow,HVACLogic Digital Ductulator,,2026-09-16,VERIFIED LIVE
https://hvaclogic.org/calculators/pt-chart,https://dev.to/miad_ea7faef80e5125861119/building-hvaclogic-a-deterministic-100-client-side-engineering-suite-for-building-science--2ec2,DEV.to,Technical Article,canonical dofollow,HVACLogic Client-Side Engineering Suite,,2026-08-23,VERIFIED LIVE
https://hvaclogic.org/calculators/ductulator,https://dev.to/miad_ea7faef80e5125861119/solving-the-implicit-colebrook-white-equation-in-typescript-via-newton-raphson-iterations-efj,DEV.to,Technical Article,canonical dofollow,HVACLogic Digital Ductulator,,2026-08-28,VERIFIED LIVE
https://hvaclogic.org/calculators/btu-calculator,https://dev.to/miad_ea7faef80e5125861119/why-we-chose-100-client-side-computation-for-engineering-calculators-zero-database-zero-tracking-idd,DEV.to,Technical Article,canonical dofollow,HVACLogic BTU Load Sizer,,2026-09-02,VERIFIED LIVE
