Framing_Material,Stud_Depth_Inches,Stud_Spacing_Inches_OC,Framing_Area_Fraction,Cavity_Insulation_Nominal_R,Continuous_Insulation_ci_R,Effective_Cavity_R,Base_Continuous_Layers_R,Total_Assembly_Effective_R,Overall_Assembly_U_Factor,Calculation_Method,Governing_Standard
Wood,3.5,16,0.25,11,0,9.0,2.52,11.52,0.087,Parallel-Path Isothermal Planes,ASHRAE 90.1 Section A3.1
Wood,3.5,16,0.25,13,0,10.2,2.52,12.72,0.079,Parallel-Path Isothermal Planes,ASHRAE 90.1 Section A3.1
Wood,3.5,16,0.25,15,0,11.4,2.52,13.92,0.072,Parallel-Path Isothermal Planes,ASHRAE 90.1 Section A3.1
Wood,3.5,16,0.25,13,5,10.2,2.52,17.72,0.056,Parallel-Path Isothermal Planes,ASHRAE 90.1 Section A3.1
Wood,3.5,16,0.25,13,10,10.2,2.52,22.72,0.044,Parallel-Path Isothermal Planes,ASHRAE 90.1 Section A3.1
Wood,3.5,24,0.22,11,0,9.4,2.52,11.92,0.084,Parallel-Path Isothermal Planes,ASHRAE 90.1 Section A3.1
Wood,3.5,24,0.22,13,0,10.7,2.52,13.22,0.076,Parallel-Path Isothermal Planes,ASHRAE 90.1 Section A3.1
Wood,3.5,24,0.22,15,0,12.0,2.52,14.52,0.069,Parallel-Path Isothermal Planes,ASHRAE 90.1 Section A3.1
Wood,3.5,24,0.22,13,5,10.7,2.52,18.22,0.055,Parallel-Path Isothermal Planes,ASHRAE 90.1 Section A3.1
Wood,5.5,16,0.25,19,0,14.6,2.52,17.12,0.058,Parallel-Path Isothermal Planes,ASHRAE 90.1 Section A3.1
Wood,5.5,16,0.25,21,0,15.8,2.52,18.32,0.055,Parallel-Path Isothermal Planes,ASHRAE 90.1 Section A3.1
Wood,5.5,16,0.25,21,5,15.8,2.52,23.32,0.043,Parallel-Path Isothermal Planes,ASHRAE 90.1 Section A3.1
Wood,5.5,24,0.22,19,0,15.4,2.52,17.92,0.056,Parallel-Path Isothermal Planes,ASHRAE 90.1 Section A3.1
Wood,5.5,24,0.22,21,0,16.7,2.52,19.22,0.052,Parallel-Path Isothermal Planes,ASHRAE 90.1 Section A3.1
Wood,5.5,24,0.22,21,5,16.7,2.52,24.22,0.041,Parallel-Path Isothermal Planes,ASHRAE 90.1 Section A3.1
Steel,3.5,16,0.25,11,0,5.5,2.52,8.02,0.125,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,3.5,16,0.25,13,0,6.0,2.52,8.52,0.117,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,3.5,16,0.25,15,0,6.4,2.52,8.92,0.112,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,3.5,16,0.25,11,5,5.5,2.52,13.02,0.077,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,3.5,16,0.25,13,5,6.0,2.52,13.52,0.074,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,3.5,16,0.25,15,5,6.4,2.52,13.92,0.072,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,3.5,16,0.25,13,7.5,6.0,2.52,16.02,0.062,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,3.5,16,0.25,13,10,6.0,2.52,18.52,0.054,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,3.5,24,0.22,11,0,6.6,2.52,9.12,0.110,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,3.5,24,0.22,13,0,7.2,2.52,9.72,0.103,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,3.5,24,0.22,15,0,7.8,2.52,10.32,0.097,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,3.5,24,0.22,13,5,7.2,2.52,14.72,0.068,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,3.5,24,0.22,13,7.5,7.2,2.52,17.22,0.058,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,3.5,24,0.22,13,10,7.2,2.52,19.72,0.051,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,6.0,16,0.25,19,0,7.1,2.52,9.62,0.104,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,6.0,16,0.25,21,0,7.4,2.52,9.92,0.101,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,6.0,16,0.25,19,5,7.1,2.52,14.62,0.068,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,6.0,16,0.25,19,7.5,7.1,2.52,17.12,0.058,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,6.0,16,0.25,19,10,7.1,2.52,19.62,0.051,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,6.0,16,0.25,21,5,7.4,2.52,14.92,0.067,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,6.0,16,0.25,21,10,7.4,2.52,19.92,0.050,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,6.0,24,0.22,19,0,8.6,2.52,11.12,0.090,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,6.0,24,0.22,21,0,9.0,2.52,11.52,0.087,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,6.0,24,0.22,19,5,8.6,2.52,16.12,0.062,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,6.0,24,0.22,19,7.5,8.6,2.52,18.62,0.054,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,6.0,24,0.22,19,10,8.6,2.52,21.12,0.047,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,6.0,24,0.22,21,5,9.0,2.52,16.52,0.061,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,6.0,24,0.22,21,10,9.0,2.52,21.52,0.046,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,8.0,16,0.25,25,0,7.8,2.52,10.32,0.097,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,8.0,16,0.25,25,5,7.8,2.52,15.32,0.065,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,8.0,16,0.25,25,10,7.8,2.52,20.32,0.049,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,8.0,24,0.22,25,0,9.6,2.52,12.12,0.083,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
Steel,8.0,24,0.22,25,5,9.6,2.52,17.12,0.058,ASHRAE 90.1 Effective Cavity Method,ANSI/ASHRAE/IES 90.1-2022 Table A9.2-1
